productCode,casNum,compound,smiles,flashPoint,img,sds
ENEO3211,112-88-9,1-OCTADECENE,C=CCCCCCCCCCCCCCCCC,154,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEO3211.gif,https://s3.amazonaws.com/gelest/sds/ENEO3211_GHS+US_English+US.pdf
ENEO3280,111-66-0,1-Octene,C=CCCCCCC,21,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEO3280.gif,https://s3.amazonaws.com/gelest/sds/ENEO3280_GHS+US_English+US.pdf
ENEP3380,123-48-8/91053-01-9,PENTAMETHYLHEPTENE,CC(C(=C(C)C)C)(CCCC)C,42,https://www.gelest.com:443/wp-content/uploads/ENEP3380-460x460.png,https://s3.amazonaws.com/gelest/sds/ENEP3380_GHS+US_English+US.pdf
ENEP3400,109-67-1,1-Pentene,C=CCCC,51,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEP3400.gif,https://s3.amazonaws.com/gelest/sds/ENEP3400_GHS+US_English+US.pdf
ENEP3510,19430-93-4,(Perfluorobutyl)ethylene,FC(C(C(C(F)(F)F)(F)F)(F)F)(F)C=C,7,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEP3510.gif,https://s3.amazonaws.com/gelest/sds/ENEP3510_GHS+US_English+US.pdf
ENEP3520,30389-25-4,(Perfluorodecyl)ethylene,FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)C=C,125,https://www.gelest.com:443/wp-content/uploads/ENEP3520-600x163.png,https://s3.amazonaws.com/gelest/sds/ENEP3520_GHS+US_English+US.pdf
ENEP3530,25291-17-2,(Perfluorohexyl)ethylene,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)C=C,21,https://www.gelest.com:443/wp-content/uploads/ENEP3530-600x243.png,https://s3.amazonaws.com/gelest/sds/ENEP3530_GHS+US_English+US.pdf
ENEP3550,21652-58-4,(Perfluorooctyl)ethylene,FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)C=C,125,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEP3550.gif,https://s3.amazonaws.com/gelest/sds/ENEP3550_GHS+US_English+US.pdf
ENEP3610,768-56-9,4-Phenyl-1-butene,C1(=CC=CC=C1)CCC=C,57,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEP3610.gif,https://s3.amazonaws.com/gelest/sds/ENEP3610_GHS+US_English+US.pdf
ENEP3630,1588-44-9,6-Phenyl-1-hexene,C1(=CC=CC=C1)CCCCC=C,65,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEP3630.gif,https://s3.amazonaws.com/gelest/sds/ENEP3630_GHS+US_English+US.pdf
ENET4160,36731-14-3/131459-42-2,Triacontene,C=CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,232,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENET4160.gif,https://s3.amazonaws.com/gelest/sds/ENET4160_GHS+US_English+US.pdf
ENEU4320,821-95-4,1-Undecene,C=CCCCCCCCCC,63,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEU4320.gif,https://s3.amazonaws.com/gelest/sds/ENEU4320_GHS+US_English+US.pdf
ENEU4325,112-43-6,10-Undecen-1-ol,C(CCCCCCCCC=C)O,125,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEU4325.gif,https://s3.amazonaws.com/gelest/sds/ENEU4325_GHS+US_English+US.pdf
ENEU4330,112-19-6,10-Undecen-1-yl acetate,C(C)(=O)OCCCCCCCCCC=C,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEU4330.gif,https://s3.amazonaws.com/gelest/sds/ENEU4330_GHS+US_English+US.pdf
ENEV4520,100-40-3,4-Vinyl-1-cyclohexene,C(=C)C1CC=CCC1,16,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEV4520.gif,https://s3.amazonaws.com/gelest/sds/ENEV4520_GHS+US_English+US.pdf
ENEV4830,3048-64-4,5-Vinyl-2-norbornene,C(=C)C1C2C=CC(C1)C2,28,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEV4830.gif,https://s3.amazonaws.com/gelest/sds/ENEV4830_GHS+US_English+US.pdf
PEG0-HH06,2615-15-8,HEXAETHYLENEGLYCOL,C(COCCOCCOCCOCCOCCO)O,20,https://www.gelest.com:443/wp-content/uploads/PEG0-HH06-600x164.png,https://s3.amazonaws.com/gelest/sds/PEG0-HH06_GHS+US_English+US.pdf
PEG0-HH07,2615-15-8,HEPTAETHYLENEGLYCOL,C(COCCOCCOCCOCCOCCOCCO)O,20,https://www.gelest.com:443/wp-content/uploads/PEG0-HH07-600x164.png,https://s3.amazonaws.com/gelest/sds/PEG0-HH07_GHS+US_English+US.pdf
