id,compound,smiles,flashPoint
molid112,2-(Allyloxymethyl)tetrahydrofuran,C(C=C)OCC1OCCC1,40.0
molid114,ALLYLPHENYL ETHER,C(C=C)OC1=CC=CC=C1,66.0
molid115,Allylsuccinic anhydride,C(C=C)C1C(=O)OC(C1)=O,145.0
molid116,4-Bromo-1-butene,BrCCC=C,1.0
molid118,5-Bromo-1-pentene,BrCCCC=C,30.0
molid119,11-Bromo-1-undecene,BrCCCCCCCCCC=C,113.0
molid120,3-Butenenitrile,C(CC=C)#N,24.0
molid122,Cyclohexene,C1=CCCCC1,12.0
molid123,Cyclopentene,C1=CCCC1,29.0
molid125,1-Dodecene,C=CCCCCCCCCCC,73.0
molid126,11-Dodecenenitrile,C(CCCCCCCCCC=C)#N,110.0
molid127,1-Eicosene,C=CCCCCCCCCCCCCCCCCCC,110.0
molid129,ETHYLVINYL ETHER,C(C)OC=C,46.0
molid130,1-Heptene,C=CCCCCC,9.0
molid131,1-Hexacosene,C=CCCCCCCCCCCCCCCCCCCCCCCCC,214.0
molid132,1-Hexadecene,C=CCCCCCCCCCCCCCC,132.0
molid133,1-Hexene,C=CCCCC,25.0
molid134,Isooctene,C(=C)(C)CC(C)(C)C,4.0
molid135,Methallyl alcohol,C(C(C)=C)O,32.0
molid136,Methallyl chloride,C(C(C)=C)Cl,10.0
molid137,11-(Methoxyethoxy)undecene,COCCOCCCCCCCCCC=C,110.0
molid138,2-Methyl-2-butene,CC(C)=CC,45.0
molid139,2-Methyl-3-butenenitrile,CC(C#N)C=C,15.0
molid140,7-Methylenepentadecane,C=C(CCCCCC)CCCCCCCC,110.0
molid141,Methyl 10-undecenoate,C(CCCCCCCCC=C)(=O)OC,115.0
molid142,Neohexene,C=CC(C)(C)C,32.0
molid143,Norbornene,C12C=CC(CC1)C2,7.0
molid146,1-Octene,C=CCCCCCC,21.0
molid148,1-Pentene,C=CCCC,51.0
molid149,(Perfluorobutyl)ethylene,FC(C(C(C(F)(F)F)(F)F)(F)F)(F)C=C,7.0
molid150,(Perfluorodecyl)ethylene,FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)C=C,125.0
molid151,(Perfluorohexyl)ethylene,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)C=C,21.0
molid152,(Perfluorooctyl)ethylene,FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)C=C,125.0
molid153,4-Phenyl-1-butene,C1(=CC=CC=C1)CCC=C,57.0
molid154,6-Phenyl-1-hexene,C1(=CC=CC=C1)CCCCC=C,65.0
molid156,1-Undecene,C=CCCCCCCCCC,63.0
molid157,10-Undecen-1-ol,C(CCCCCCCCC=C)O,125.0
molid158,10-Undecen-1-yl acetate,C(C)(=O)OCCCCCCCCCC=C,110.0
molid159,4-Vinyl-1-cyclohexene,C(=C)C1CC=CCC1,16.0
molid160,5-Vinyl-2-norbornene,C(=C)C1C2C=CC(C1)C2,28.0
molid161,HEXAETHYLENEGLYCOL,C(COCCOCCOCCOCCOCCO)O,20.0
molid223,SODIUM TIN ETHOXIDE,[O-]CC.[Sn+4].[Na+].[O-]CC.[O-]CC.[O-]CC.[O-]CC,110.0
molid244,TIN,[Sn],1166.0
molid248,TIN(II) METHANESULFONATE,CS(=O)(=O)[O-].[Sn+2].CS(=O)(=O)[O-],0.0
molid249,TIN(II) OLEATE,C(CCCCCCC\C=C/CCCCCCCC)(=O)[O-].[Sn+2].C(CCCCCCC\C=C/CCCCCCCC)(=O)[O-],110.0
molid310,GERMANIUM,[Ge],20.0
molid406,(METHACRYLOXYPROPYL)METHYLSILOXANE,C(C(=C)C)(=O)OCCC[Si]([O])C,110.0
