compound,flashPoint,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv,smiles,id
Bis(diethylamino)dimethylsilane,34.850000000000016,47.69,Training,0,2.185,0.851,4.188,7.6770000000000005,C(C)N(CC)[Si](C)(C)N(CC)CC,molid136
Decamethyltetrasiloxane,61.850000000000016,78.65000000000003,Training,0,2.487,0.861,8.105,7.809,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,molid137
Decamethylcyclopentasiloxane,76.85000000000002,70.62,Training,0,2.648,0.875,-8.998,9.061,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,molid138
"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",145.85000000000005,122.45000000000003,Training,0,2.8689999999999998,0.892,19.118,6.598,C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,molid139
n-Decylmethyldichlorosilane,119.85000000000002,114.01000000000003,Training,0,2.6889999999999996,0.904,23.50800000000001,5.537000000000001,C(CCCCCCCCC)[Si](Cl)(Cl)C,molid140
Vinyltriethylsilane,44.850000000000016,21.56,Training,0,1.8159999999999998,0.848,12.747,5.669,C(=C)[Si](CC)(CC)CC,molid141
Phenyltriethoxysilane,119.85000000000002,99.66000000000004,Training,0,2.6689999999999996,0.9,9.548,7.191,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,molid142
Diphenylsilane,97.85000000000002,102.44,Training,0,2.6919999999999997,0.9109999999999999,16.987000000000002,5.476,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,molid143
Tetramethyltetravinylcyclotetrasilane,111.85000000000002,93.63,Training,0,2.7,0.892,-1.215,8.85,C[Si]1([Si]([Si]([Si]1(C=C)C)(C=C)C)(C=C)C)C=C,molid144
n-Dodecyltrichlorosilane,161.85000000000005,144.39000000000004,Training,0,2.966,0.922,26.123,5.747000000000001,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,molid145
Hexaethyldisiloxane,75.85000000000002,72.06,Training,0,2.352,0.8490000000000001,10.013,7.968,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,molid146
Dodecamethylpentasiloxane,78.85000000000002,96.33000000000004,Training,0,2.822,0.863,4.16,8.315,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,molid147
Dodecamethylcyclohexasiloxane,92.85000000000002,89.58000000000004,Training,0,2.929,0.875,-12.899000000000001,10.056000000000001,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,molid148
Methyldiphenylchlorosilane,137.85000000000002,129.23000000000002,Training,0,2.6910000000000003,0.934,15.499,7.574,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,molid149
n-Dodecylmethyldichlorosilane,142.85000000000005,137.36,Training,0,2.966,0.898,27.561999999999998,5.591,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,molid150
Octyltriethoxysilane,99.85000000000002,112.52000000000004,Training,0,2.9760000000000004,0.8690000000000001,17.846,6.062,C(CCCCCCC)[Si](OCC)(OCC)OCC,molid152
Tetradecamethylhexasiloxane,101.85000000000002,112.48000000000002,Training,0,3.14,0.865,1.239,8.568,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,molid153
n-Octadecyltrichlorosilane,192.85,202.70000000000005,Training,0,3.748,0.9079999999999999,33.812,5.8210000000000015,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,molid154
Octadecamethyloctasiloxane,143.85000000000005,142.97000000000003,Training,0,3.74,0.868,-3.725,8.962,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,molid155
Vinyltrichlorosilane,20.850000000000023,23.81,Test,0,1.43,0.993,7.987999999999999,4.168,C(=C)[Si](Cl)(Cl)Cl,molid156
Ethylsilane,-60.149999999999984,-78.53999999999995,Test,0,1.155,0.8,8.567,2.28,C(C)[SiH3],molid157
n-Propyltrichlorosilane,36.85000000000002,37.49000000000001,Test,0,1.604,0.972,9.75,4.842,C(CC)[Si](Cl)(Cl)Cl,molid158
Dimethylvinylchlorosilane,-5.149999999999976,-0.75,Test,0,1.43,0.912,10.975,3.935,CC(=C[SiH2]Cl)C,molid160
Trimethylsilylisothiocyanate,34.850000000000016,9.230000000000018,Test,0,1.604,0.915,9.64,4.066,C[Si](C)(C)N=C=S,molid161
Methoxytrimethylsilane,-30.149999999999977,-23.859999999999985,Test,0,1.43,0.853,11.3,3.634,CO[Si](C)(C)C,molid162
Diethylsilane,-20.149999999999977,-35.599999999999966,Test,0,1.5090000000000001,0.82,11.979000000000001,3.03,C(C)[SiH2]CC,molid163
Tetraisocyanatosilane,49.850000000000016,71.23000000000002,Test,0,2.32,0.988,4.89,4.431,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,molid164
sec-Amyltrichlorosilane,29.850000000000023,58.43000000000001,Test,0,1.817,0.956,11.384,5.847,C(C)(CCC)[Si](Cl)(Cl)Cl,molid165
Ethoxytrimethylsilane,-27.149999999999977,-9.489999999999954,Test,0,1.604,0.853,10.97,4.086,C(C)O[Si](C)(C)C,molid167
Phenyltrichlorosilane,90.85000000000002,84.81,Test,0,2.072,0.9890000000000001,10.32,6.029,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,molid168
Cyclohexyltrichlorosilane,84.85000000000002,89.56,Test,0,2.072,0.9590000000000001,12.036,7.148,C1(CCCCC1)[Si](Cl)(Cl)Cl,molid169
1-Trimethylsilylpropyne,-3.1499999999999773,-7.569999999999991,Test,0,1.604,0.863,11.424000000000001,3.844,C[Si](C#CC)(C)C,molid170
Hexyldichlorosilane,63.850000000000016,59.73000000000002,Test,0,2.0669999999999997,0.9229999999999999,15.654000000000002,4.803999999999999,C(CCCCC)[SiH](Cl)Cl,molid171
3-Chloropropylmethyldimethoxysilane,44.850000000000016,44.47000000000003,Test,0,2.006,0.9059999999999999,11.027000000000001,5.181,ClCCC[Si](OC)(OC)C,molid173
n-Propyltrimethoxysilane,24.850000000000023,25.49000000000001,Test,0,1.955,0.8809999999999999,9.726,4.749,C(CC)[Si](OC)(OC)OC,molid174
Hexamethyldisiloxane,-3.1499999999999773,3.3100000000000023,Test,0,1.733,0.848,8.984,5.142,C[Si](O[Si](C)(C)C)(C)C,molid175
Hexamethyldisilazane,7.850000000000023,8.340000000000032,Test,0,1.733,0.84,11.429,5.405,C[Si](N[Si](C)(C)C)(C)C,molid176
Methyltriacetoxysilane,84.85000000000002,68.23000000000002,Test,0,2.329,0.9329999999999999,8.076,5.3020000000000005,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,molid177
n-Heptyltrichlorosilane,63.850000000000016,90.52000000000004,Test,0,2.25,0.943,17.493,5.676,C(CCCCCC)[Si](Cl)(Cl)Cl,molid178
(1-Methoxy-2-propoxy)trimethylsilane,19.850000000000023,29.25,Test,0,1.985,0.867,11.606,5.034,COCC(C)O[Si](C)(C)C,molid179
Heptamethyldisilazane,26.850000000000023,16.340000000000032,Test,0,1.775,0.841,11.078,5.968999999999999,C[Si](N([Si](C)(C)C)C)(C)C,molid180
Vinyltriacetoxysilane,87.85000000000002,77.52000000000005,Test,0,2.4019999999999997,0.937,7.497000000000001,5.757999999999999,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,molid181
(Cyclopentenyloxy)trimethylsilane,37.85000000000002,45.12000000000001,Test,0,2.119,0.873,13.152999999999999,5.282,C1(=CCCC1)O[Si](C)(C)C,molid182
