Compound,TB(K),Ref.,YBP,TFP(K)Ref.,NFP,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,NFP(eq6),TFP(eq4),AD,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9
N-ethyl-N-methylethanamine,336,A,18.43,250,B,18.75,0,1,19,253,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triethylamine,362,N,20.72,264,A,20.85,0,1,21,268,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tripropylamine,429,N,27.69,308,L,27.97,0,1,28,310,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tributylamine,488,B,35.29,344,H,34.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.69,351,7,,,,,,,,,,
N-ethyldimethylamine,309,A,16.26,237,B,16.88,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,239,2,,,,,,,,,,
1-ethylpiperidine,404,N,24.9,291,F,25.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56,294,3,,,,,,,,,,
diethylenetriamine,480,A,34.17,363,B,37.94,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37.93,363,0,,,,,,,,,,
"N,N-dimethylcyclohexylamine",432,N,28.04,314,A,29.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.63,312,2,,,,,,,,,,
"1,2-ethanediamine",393,L,23.74,307,L,27.8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.29,304,3,,,,,,,,,,
"1,3-propanediamine",413,N,25.87,321,B,30.23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.36,316,5,,,,,,,,,,
"N,N-dimethyl-1,3-propanediamine",405,A,25,305,A,27.46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.93,302,3,,,,,,,,,,
"N,N-dimethylformamide",426,A,27.34,330,F,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31.21,327,3,,,,,,,,,,
"N,N-dimethylacetamide",439,A,28.87,339,L,33.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.71,335,4,,,,,,,,,,
"N,N-diethylformamide",449,A,30.1,338,A,33.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.9,341,3,,,,,,,,,,
"N,N-diethylacetamide",457,N,31.11,349,A,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34.89,347,2,,,,,,,,,,
N-ethylformamide,459,A,31.37,359,A,37.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.55,361,2,,,,,,,,,,
N-methylformamide,473,B,33.21,371,F,39.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.35,370,1,,,,,,,,,,
N-ethylacetamide,480,F,34.17,379,A,41.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40.28,375,4,,,,,,,,,,
