No,Compond Name,CAS NO.,Status,Observed,Predicted,RNF,1X,Qmax,DPSA2,IB,δtot2
88,Cyclohexylmethyldichlorosilane,5578-42-7,Training,355.15,342.91,0,4.61,0.03,108.78,0,-4.85
89,"1-(Trimethylsiloxy)-1,3-butadiene",6651-43-0,Training,298.15,301.66,0,4.06,0.04,123.78,0,2.53
90,2-Chloromethyl-3-trimethylsilyl-1-propene,18388-03-9,Training,316.15,310.03,0,3.95,0.04,114.69,0,-0.63
91,n-Heptyltrichlorosilane,871-41-0,Training,337.15,354.26,0,5.06,0.05,152.54,0,-5.76
92,n-Hexylmethyldichlorosilane,14799-94-1,Training,358.15,343,0,4.56,0.03,128.61,0,-5.36
93,Vinylmethyldiethoxysilane,5507-44-8,Training,289.15,304.78,0,4.68,0.03,165.29,0,5.65
94,Ethyl(2-trimethylsilyl)acetate,4071-88-9,Training,308.15,303.35,0,4.45,0.08,174.59,0,3.24
95,Cyclopentamethylenedimethylsilane,4040-74-8,Training,333.15,286.83,0,3.71,0.02,87.63,0,4.81
96,N-(Trimethylsilyl)morpholine,13368-42-8,Training,300.15,307.38,0,4.61,0.03,165.5,0,4.37
97,Bis(tri methyl si ly)carbodiimide,1000-70-0,Training,315.15,293.27,0,4.71,0.05,186.31,0,8.98
98,t-Butoxytrimethylsilane,13058-24-7,Training,287.15,284.93,0,3.71,0.02,131.4,0,4.98
99,Vinylpentamethyidisiloxane,1438-79-5,Training,285.15,292.36,0,4.27,0.03,159.9,0,6.72
100,(1-Methoxy-2-propoxy)trimethylsilane,55816-62-1,Training,293.15,294.22,0,4.45,0.04,193.71,0,6.36
101,Methyltriethoxysilane,2031-67-6,Training,297.15,313.53,0,5.18,0.04,218.67,0,5.99
102,(Diethylamino)trimethylsilane,996-50-9,Training,283.15,292.19,0,4.02,0.02,125.7,0,5.16
103,Bis(trimethylsilyl)methane,2117-28-4,Training,285.15,285.68,0,3.71,0.02,129.82,0,4.96
104,Heptamethyldisilazane,37074-17-2,Training,300.15,292.84,0,4.15,0.02,153.31,0,5.85
105,Bis(trimethylsiloxy)methylsilane,1873-88-7,Training,296.15,303.81,0,5.41,0.03,274.32,0,10.06
106,Phenylethyidichlorosilane,1125-27-5,Training,365.15,361.23,0,5.17,0.03,94.98,0,-5.64
107,Tetravinylsilane,1112-55-6,Training,291.15,307.8,0,4.24,0.02,79.04,0,2.7
108,Phenyidimethylsilane,766-77-8,Training,311.15,301.43,0,4.3,0.03,104.94,0,5.11
109,Cyclopentadienyltrimethylsilane,3559-74-8,Training,302.15,300.22,0,4.11,0.02,87.15,0,4.16
110,(Cyclopentenyloxy)trimethylsilane,19980-43-9,Training,311.15,310.82,0,4.58,0.02,135.94,0,4.07
111,"(2,4-Pentadienyl)trimethylsilane",1777-03-3,Training,291.15,301.17,0,4.06,0.02,104.49,0,3.71
112,n-Octyltrichlorosilane,5283-66-9,Training,369.15,365.5,0,5.56,0.05,171.84,0,-5.56
113,n-Heptylmethyldichlorosilane,18395-93-2,Training,339.15,352.37,0,5.06,0.03,152.37,0,-4.63
114,Tetramethyldivinyldisiloxane,2627-95-4,Training,292.15,308.2,0,4.83,0.03,166.59,0,6.28
115,Triethylacetoxysilane,5290-29-9,Training,314.15,321.3,0,5.1,0.08,173.44,0,2.89
116,Vinyltriethoxysilane,78-08-0,Training,307.15,323.66,0,5.74,0.04,236.32,0,7.02
117,"1,3-Divinyltetramethyldisilazane",2/3/7691,Training,307.15,310.64,0,4.83,0.05,167.6,0,4.9
118,Diethyldiethoxysilane,5021-93-2,Training,316.15,315.09,0,5.24,0.03,197.91,0,6.45
119,Tetraethoxysilane,78-10-4,Training,323.15,331.33,0,6.24,0.06,289.44,0,7
120,Tetraethylsilane,631-36-7,Training,305.15,302.42,0,4.24,0.02,111.13,0,4.2
121,Aminoethylaminopropyltrimethoxysilane,1760-24-3,Training,269.15,336.35,0,6.74,0.04,349.67,0,8.66
122,Tetramethyldiethoxysiloxane,18420-09-2,Training,311.15,323,0,5.83,0.03,279.95,0,7.18
123,Octamethyltrisiloxane,107-51-7,Training,303.15,303.78,0,5.41,0.03,283.01,0,9.89
124,Octamethylcyclotetrasiloxane,556-67-2,Training,330.15,329.38,0,6.83,0.03,335.35,0,12.15
125,Octamethylcyclotetrasilazane,1020-84-4,Training,339.15,331.02,0,6.83,0.05,374.95,0,10.13
