No.,Compounds Name,Observed,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv
120,"1,3-Divinyltetramethyldisilazane",307,310.41 ,Training,0,1.978,0.86,11.142,6.168
121,Tetraethoxysilane,323,328.27 ,Training,0,2.32,0.886,8.575,5.573
122,Tetraethylsilane,299,290.38 ,Training,0,1.816,0.836,12.179,5.769
123,n-Octylsilane,309,303.58 ,Training,0,2.15,0.83,18.175,4.139
124,Aminoethylaminopropyltrimethoxysilane,369,349.35 ,Training,0,2.536,0.882,15.631,5.091
125,Octamethyltrisiloxane,303,315.69 ,Training,0,2.129,0.856,7.214,6.732
126,Octamethylcyclotetrasiloxane,330,324.89 ,Training,0,2.368,0.875,-1.516,7.355
127,Octamethylcyclotetrasilazane,339,325.84 ,Training,0,2.368,0.856,-2.053,8.19
128,Tetrakisdimethylsiloxysilane,340,370.80 ,Training,0,2.564,0.863,15.703,7.611
129,p-Chlorophenyltrimethylsilane,322,344.36 ,Training,0,2.149,0.916,14.212,5.959
130,Methylphenyldimethoxysilane,349,351.39 ,Training,0,2.432,0.899,12.191,5.995
131,Phenyltrimethoxysilane,358,345.93 ,Training,0,2.355,0.91,11.615,5.656
132,Trimethylphenylsilane,313,321.29 ,Training,0,2.072,0.881,13.65,5.472
133,2-Cyanoethyltriethoxysilane,359,347.04 ,Training,0,2.446,0.896,8.429,6.348
134,Cyclohexylmethyldimethoxysilane,343,338.05 ,Training,0,2.273,0.872,12.069,6.551
135,3-Glycidoxypropyltrimethoxysilane,383,374.83 ,Training,0,2.821,0.898,15.33,5.434
136,Di-t-butylmethylchlorosilane,342,320.46 ,Training,0,1.794,0.88,13.618,7.015
137,Hexyltrimethoxysilane,335,341.23 ,Training,0,2.393,0.875,16.313,5.226
138,Triisopropylsilane,310,302.27 ,Training,0,1.887,0.836,13.336,6.274
139,Tri-n-propylsilane,316,311.18 ,Training,0,2.13,0.836,15.632,5.287
140,(Diisopropylamino)trimethylsilane,301,301.30 ,Training,0,1.918,0.845,9.812,6.405
141,1-Chlorononamethyltetrasiloxane,347,358.11 ,Training,0,2.487,0.884,6.773,7.908
142,Propyltris(dimethylsiloxy)silane,323,347.11 ,Training,0,2.504,0.859,7.216,7.507
