id,compound,smiles,flashPoint
molid116,Octamethylcyclotetrasiloxane,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,56.850000000000016
molid118,Tetrakisdimethylsiloxysilane,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,66.85000000000002
molid120,Methylphenyldimethoxysilane,C[Si](OC)(OC)C1=CC=CC=C1,75.85000000000002
molid121,Phenyltrimethoxysilane,C1(=CC=CC=C1)[Si](OC)(OC)OC,84.85000000000002
molid122,Trimethylphenylsilane,C[Si](C1=CC=CC=C1)(C)C,39.85000000000002
molid124,Cyclohexylmethyldimethoxysilane,C1(CCCCC1)C[SiH](OC)OC,69.85000000000002
molid125,3-Glycidoxypropyltrimethoxysilane,C(C1CO1)OCCC[Si](OC)(OC)OC,109.85000000000002
molid126,Di-t-butylmethylchlorosilane,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,68.85000000000002
molid128,Triisopropylsilane,C(C)(C)[SiH](C(C)C)C(C)C,36.85000000000002
molid129,Tri-n-propylsilane,C(CC)[SiH](CCC)CCC,42.85000000000002
molid131,1-Chlorononamethyltetrasiloxane,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,73.85000000000002
molid132,Propyltris(dimethylsiloxy)silane,C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,49.850000000000016
molid133,Benzyltrimethylsilane,C(C1=CC=CC=C1)[Si](C)(C)C,61.850000000000016
molid135,n-Octyldimethylchlorosilane,C(CCCCCCC)[Si](Cl)(C)C,96.85000000000002
molid136,Bis(diethylamino)dimethylsilane,C(C)N(CC)[Si](C)(C)N(CC)CC,34.850000000000016
molid137,Decamethyltetrasiloxane,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,61.850000000000016
molid138,Decamethylcyclopentasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,76.85000000000002
molid139,"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,145.85000000000005
molid140,n-Decylmethyldichlorosilane,C(CCCCCCCCC)[Si](Cl)(Cl)C,119.85000000000002
molid141,Vinyltriethylsilane,C(=C)[Si](CC)(CC)CC,44.850000000000016
