id,compound,smiles,flashPoint
molid128,Diphenyldichlorosilane,C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,142.0
molid129,Phenyltriethoxysilane,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,120.0
molid131,"2,4,6,8-Tetravinyl-2,4,6,8-tetramethylcyclotetrasiloxane",C(=C)[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C,112.0
molid132,n-Dodecyltrichlorosilane,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,162.0
molid133,Tetra-n-propoxysilane,C(CC)O[Si](OCCC)(OCCC)OCCC,95.0
molid135,Dodecamethylpentasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,79.0
molid136,Dodecamethylcyclohexasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,93.0
molid137,Methyldiphenylchlorosilane,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,138.0
molid138,n-Dodecylmethyldichlorosilane,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,143.0
molid139,Diphenyldimethoxysilane,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,121.0
molid140,Octyltriethoxysilane,C(CCCCCCC)[Si](OCC)(OCC)OCC,100.0
molid141,Tetradecamethylhexasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,102.0
molid142,Hexadecamethylheptasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,133.0
molid143,n-Octadecyltrichlorosilane,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,193.0
molid144,Octadecamethyloctasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,144.0
molid145,Vinyltris(methoxyethoxy)silane,C(=C)[Si](OCCOC)(OCCOC)OCCOC,80.0
molid146,Trimethyl(vinyloxy)silane,C[Si](OC=C)(C)C,-10.0
molid147,Trichloro(3-cyanopropyl) Silane,Cl[Si](CCCC#N)(Cl)Cl,92.0
molid148,Trichloro(2-phenylethyl)silane,Cl[Si](CCC1=CC=CC=C1)(Cl)Cl,91.0
molid149,"Chlorodimethyl(3,3,3-trifluoropropyl) silane",Cl[Si](CCC(F)(F)F)(C)C,20.0
molid150,Vinylmethylbis (trimethylsiloxy) silane,C(=C)C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,51.0
molid152,Dimethyl(pentafluorophenyl) silane,C[SiH](C1=C(C(=C(C(=C1F)F)F)F)F)C,40.0
molid153,Trichloro(p-chlorophenyl)silane,Cl[Si](C1=CC=C(C=C1)Cl)(Cl)Cl,123.90000000000003
molid154,Trisilane,[SiH3][SiH2][SiH3],0.0
molid155,Trichlorononylsilane,ClC(CCCCCCCC[SiH3])(Cl)Cl,114.0
molid156,Dichloroethylsilane,ClC(C[SiH3])Cl,-9.399999999999975
molid157,Trichloro(dichlorophenyl)silane,Cl[Si](C1=C(C(=CC=C1)Cl)Cl)(Cl)Cl,146.0
molid158,Tris(trimethylsilyl)silane,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,55.0
molid160,Hexadecyltrichlorosilane,C(CCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,154.0
molid161,Dichlorosilane,Cl[SiH2]Cl,-36.999999999999964
molid162,Dimethyldichlorosilane,C[Si](Cl)(Cl)C,-16.0
molid163,Bromomethyldimethylchlorosilane,BrC[Si](Cl)(C)C,41.0
molid164,Trimethylsilane,C[SiH](C)C,-68.99999999999997
molid165,Dimethylvinylchlorosilane,CC(=C[SiH2]Cl)C,-5.0
molid167,"1,1,3,3-Tetramethyldisiloxane",C[SiH](O[SiH](C)C)C,-21.999999999999968
molid168,Tetramethyldisilazane,CN([Si](C)(C)C)[SiH3],11.0
molid169,Allyl Dimethylchlorosilane,C(C=C)[Si](Cl)(C)C,5.0
molid170,sec-Amyltrichlorosilane,C(C)(CCC)[Si](Cl)(Cl)Cl,30.0
molid171,n-Butylmethyldichlorosilane,C(CCC)[Si](Cl)(Cl)C,30.0
molid173,Phenyltrichlorosilane,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,91.0
molid174,Phenyl trifluorosilane,C1(=CC=CC=C1)[Si](F)(F)F,-5.0
molid175,Dimethyldiacetoxysilane,C[Si](OC(C)=O)(OC(C)=O)C,37.0
molid176,1-Trimethylsilylpropyne,C[Si](C#CC)(C)C,-3.0
molid177,Vinyldimethylethoxysilane,C(=C)[Si](OCC)(C)C,4.0
molid178,Allyloxytrimethylsilane,C(C=C)O[Si](C)(C)C,0.0
molid179,Allyltrimethoxysilane,C(C=C)[Si](OC)(OC)OC,46.0
molid180,3-Chloropropyltrimethoxysilane,ClCCC[Si](OC)(OC)OC,75.0
molid181,n-Propyltrimethoxysilane,C(CC)[Si](OC)(OC)OC,25.0
molid182,Hexamethyldisiloxane,C[Si](O[Si](C)(C)C)(C)C,-3.0
molid183,Hexamethyldisilane,C[Si]([Si](C)(C)C)(C)C,-1.0
